,100.558,107.665,42.9171
90.9873,115.52,42.1413
80.8093,122.531,43.4844
70.0979,128.649,41.9515
47.3886,138.057,41.6684
35.5544,141.287,43.3387
11.3503,144.704,41.1338
-0.847069,144.874,40.5805
-25.0012,142.152,41.43
-106.528,94.1322,40.8463
-113.843,84.686,40.9068
-138.477,-16.3531,42.8213
-133.261,-39.1577,40.9797
-124.333,-60.6815,42.2528
-78.5451,-111.904,42.0605
71.2434,-112.197,42.558
96.4059,-90.294,43.1434
115.181,-62.9685,42.5826
119.816,-52.9575,42.0964
124.591,32.7208,42.137
121.144,42.9827,42.4144
57.4096,112.261,40.9835
37.6365,119.769,42.2909
-3.98509,124.387,41.3282
-34.6891,118.666,40.1479
-44.4391,115.077,40.5194
-62.8028,105.541,40.9181
-79.2357,93.1181,40.6653
-93.2915,78.1838,40.1108
-99.3077,69.9112,39.7683
-104.595,61.1817,40.2281
-109.12,52.0591,39.8931
-117.763,-17.0433,40.544
-115.648,-26.8164,40.8177
-109.02,-45.5929,40.8076
-104.561,-54.4658,40.9208
-99.3839,-62.9129,41.084
-93.5283,-70.8761,41.0179
-87.0389,-78.3014,41.2082
-79.9646,-85.1388,41.4764
-55.7776,-101.69,41.1826
-37.7823,-109.078,40.8532
-28.4159,-111.602,40.3597
19.3984,-112.13,41.0965
28.6825,-109.839,41.6292
37.7192,-106.782,41.3336
54.802,-98.4799,41.9907
77.0913,-81.0812,42.235
83.427,-74.1351,41.6423
89.1422,-66.699,41.6345
94.1993,-58.8279,41.7021
108.654,-15.048,41.7723
109.261,-5.85042,40.9873
108.154,12.466,41.8413
96.9867,47.0001,41.9221
87.3008,62.2596,40.7163
81.5519,69.1977,41.0931
75.2559,75.6114,40.7219
53.5756,91.2992,40.5779
45.5964,95.231,40.5456
-6.04661,103.764,40.0052
-31.5142,98.1847,39.8692
-39.5474,94.9366,39.7803
-88.1805,48.5278,39.8893
-96.708,24.7674,40.8365
-98.1767,16.5084,40.2768
-98.3693,-8.45917,39.9593
-85.1416,-47.2239,40.552
-50.8134,-81.1135,40.2332
-36.3035,-87.97,40.6739
-5.16091,-93.9273,40.8654
53.24,-74.8745,41.4001
59.1658,-69.9266,41.4825
64.6379,-64.5139,41.1214
74.0804,-52.4616,41.6104
81.3244,-39.0776,41.5631
88.5747,-9.91177,41.6771
88.8198,-2.42666,41.1656
85.809,19.645,40.8001
83.5932,26.7021,40.3932
80.8002,33.5264,41.9043
53.484,67.1304,40.5711
14.0753,82.9977,39.9409
-0.0218951,83.6331,39.6577
-33.6084,75.0798,39.3451
-39.6652,71.7498,41.3816
-50.7773,63.6646,39.5742
-78.1824,11.0504,39.592
